,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,secondary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,presale_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,sales_platform_cd,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,gndr_cd,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,occpn_1st_val,occpn_2nd_val,dist_to_ven
51,52,36c0cef181ce17499c26,23fa4d7e248551248770,6fd7a617426c342a117e,f3fa178866e1972a607c,Fall Out Boy - wintour is coming,Fall Out Boy,AWOLNATION,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Fall Out Boy - wintour is coming,   LIVE NATION PRESENTS          FALL OUT BOY           WINTOUR IS COMING           UNITED CENTER         1901 W MADISON/CHICAGO    SAT MAR 12 2016 7:00PM  ,2,110.0,eTicket,2016-03-13 01:00:00,2016-03-12,2015-10-14,2015-10-16,2015-10-16 15:17:30,2015-10-16,2016-01-04,CST,CHICAGO,ILLINOIS,60612,www.ticketmaster.com,T ,Y ,Chicago,f3fa178866e1972a607c,,,,,,,,,,,,,,
53,54,60301292eea2816de121,0af71548579d986b7664,744f54b2f6306c3e1a75,292c53f16a7a567d0fc7,Maroon 5,Maroon 5,Tove Lo,CONCERTS,ROCK/POP,CONCERTS,Maroon 5,   LIVE NATION PRESENTS            MAROON 5              WWW.MAROON5.COM             AMWAY CENTER                                   FRI SEP 09 2016 7:30PM  ,2,247.0,eTicket,2016-09-09 23:30:00,2016-09-09,2015-11-06,2015-11-14,2015-11-14 15:21:39,2015-11-14,2016-01-30,EST,ORLANDO,FLORIDA,32801,www.ticketmaster.com,T ,Y ,Orlando,292c53f16a7a567d0fc7,,,,,,,,,,,,,,
55,56,1cb15fb4fb6f147b54c3,c6e5950d371f7bebe3fa,8c592cf3ca0a3a7ab2bf,302ef9999318b2f300ea,Miranda Lambert: Keeper Of The Flame Tour,Miranda Lambert,Kip Moore,CONCERTS,COUNTRY,CONCERTS,Miranda Lambert: Keeper Of The Flame Tour,    MIRANDALAMBERT.COM         MIRANDA LAMBERT      KIP MOORE/BROTHERS OSBORNE KEEPER OF THE FLAME TOUR    KLIPSCH MUSIC CENTER    SAT MAY 14 2016 7:30 PM  ,4,79.0,eTicket,2016-05-14 23:30:00,2016-05-14,2016-02-23,2016-02-26,2016-02-27 23:18:32,2016-02-27,,CST,NOBLESVILLE,INDIANA,46060,www.concerts.livenation.com,F ,Y ,Indiana-Ohio,302ef9999318b2f300ea,,,,,,,,,,,,,,
56,57,466b94028dd5e7d65f5a,3d5839403194ce06e990,87a66b1176395d8eadc2,b8df579b34a2b10adc47,Kube 93 summer jam,Kube Summer Jam,T.I.,CONCERTS,ROCK/POP,CONCERTS,Kube 93 summer jam,  SKY MOVEMENT PRESENTS       KUBE 93 SUMMER JAM          WWW.KUBE93.COM       WHITE RIVER AMPHITHEATRE      *RAIN OR SHINE*      SAT JUN 20 2015 DRS 1200PM,1,2.33,eTicket,2015-06-20 19:00:00,2015-06-20,,2015-04-11,2015-05-05 03:09:08,2015-05-04,2015-06-20,PST,AUBURN,WASHINGTON,98092,mobile.livenation.us,T ,Y ,Seattle,b8df579b34a2b10adc47,,,,,,,,,,,,,,
58,59,2aa220dd0c55f179c593,8ece566dec0c146b25cd,b85143bf51323b72e53c,cfdf51624272d5d2f621,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR         CITI FIELD              RAIN OR SHINE         WED JUN 08 2016 6:00PM  ,8,1440.0,TicketFast,2016-06-08 22:00:00,2016-06-08,2016-02-10,2016-02-16,2016-02-12 19:21:46,2016-02-12,2016-02-15,EST,FLUSHING,NEW YORK,11368,android.ticketmaster.us,T ,Y ,New York,cfdf51624272d5d2f621,,,,,,,,,,,,,,
60,61,b62b844fd17979d24df6,8ece566dec0c146b25cd,b85143bf51323b72e53c,82bbad936bc84885e089,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR         CITI FIELD              RAIN OR SHINE         TUE JUN 07 2016 6:00PM  ,1,180.0,TicketFast,2016-06-07 22:00:00,2016-06-07,2016-02-09,2016-02-16,2016-02-09 15:12:42,2016-02-09,,EST,FLUSHING,NEW YORK,11368,iphone.ticketmaster.us,F ,Y ,New York,82bbad936bc84885e089,,,,,,,,,,,,,,
62,63,435efd0c89ac762819e6,c10b73eb619acc104c0e,b85143bf51323b72e53c,dbf9d88d878e1d26e893,John Fogerty: 1969,John Fogerty,,CONCERTS,ROCK/POP,CONCERTS,John Fogerty: 1969,   LIVE NATION PRESENTS          JOHN FOGERTY          WWW.JOHNFOGERTY.COM      CORAL SKY AMPHITHEATRE  SOUTH FLORIDA FAIRGROUNDS  SUN MAY 17 2015 8:00 PM  ,1,20.0,eTicket,2015-05-18 00:00:00,2015-05-17,2015-03-04,2015-03-06,2015-04-25 01:35:20,2015-04-24,2015-04-24,EST,WEST PALM BEACH,FLORIDA,33411,www.concerts.livenation.com,T ,Y ,Miami,dbf9d88d878e1d26e893,,,,,,,,,,,,,,
65,66,96b70e07de3a9441cf99,b10e66a885a1f0eb494d,b85143bf51323b72e53c,2c922faa457dfa2fb59d,Pearl Jam,Pearl Jam,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Pearl Jam,     An Evening With              PEARL JAM             $3.00 To Vitalogy         Jacksonville Arena     NO CAMERAS / VIDEO / REC  Wed Apr 13 2016 8:00 PM  ,1,70.0,eTicket,2016-04-14 00:00:00,2016-04-13,2015-12-04,2016-01-29,2016-01-29 17:03:15,2016-01-29,2016-01-29,EST,JACKSONVILLE,FLORIDA,32202,iphone.ticketmaster.us,T ,Y ,Orlando,2c922faa457dfa2fb59d,,,,,,,,,,,,,,
70,71,6ba966e0c2a089854f94,2ae246113f978590dd58,b85143bf51323b72e53c,a58f08fd0dd5b96ffc53,Cowboy Mouth,Cowboy Mouth,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Cowboy Mouth, HOUSE OF BLUES PRESENTS         COWBOY MOUTH              www.hob.com          HOUSE OF BLUES HOUSTON     1204 CAROLINE STREET   FRI MAY 29 2015  830PM DRS,1,17.75,eTicket,2015-05-30 01:30:00,2015-05-29,2015-03-04,2015-03-06,2015-05-29 03:28:02,2015-05-28,2015-05-28,CST,HOUSTON,TEXAS,77002,www.concerts.livenation.com,T ,Y ,Houston,a58f08fd0dd5b96ffc53,,,,,,,,,,,,,,
80,81,9cd970a3e83baf01681a,f53529c5679ea6ca5a48,b85143bf51323b72e53c,6526443f065f7543fe48,Dave Matthews Band,Dave Matthews Band,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Dave Matthews Band,A VERY SPECIAL EVENING W/     DAVE MATTHEWS BAND                                 NO CAMERAS OR VIDEOS   SARATOGA PERF ARTS CENTER   SAT JUL 4 2015 7:00 PM  ,4,162.0,Mail,2015-07-04 23:00:00,2015-07-04,2015-04-01,2015-02-13,2015-04-26 17:44:13,2015-04-26,2015-04-29,EST,SARATOGA SPRINGS,NEW YORK,12866,mobile.livenation.us,T ,Y ,New York,6526443f065f7543fe48,,,,,,,,,,,,,,
81,82,7bedf37a65e931677963,47cb7b1f9c8f7817f855,913eea53bc1f9952bf69,f0bedea6d7e2a6beb10d,Rihanna: Anti World Tour 2016,Rihanna,Travis Scott,CONCERTS,ROCK/POP,CONCERTS,Rihanna: Anti World Tour 2016,       LIVE NATION                 RIHANNA                                       ANTI WORLD TOUR 2016       PRUDENTIAL CENTER      SAT APR 02 2016 7:30 PM  ,4,222.0,eTicket,2016-04-02 23:30:00,2016-04-02,2015-11-30,2015-12-03,2015-11-30 15:15:08,2015-11-30,2015-12-01,EST,NEWARK,NEW JERSEY,07102,www.ticketmaster.com,T ,Y ,New York,f0bedea6d7e2a6beb10d,,,,,,,,,,,,,,
87,88,e36959b08ca34f340871,6bcb82dc5f6fb98626a9,b85143bf51323b72e53c,519729017d672731ccad,Yellow Claw,Yellow Claw,,CONCERTS,OTHER,CONCERTS,Yellow Claw,MEGA:BLOOD FOR MERCY TOUR      feat YELLOW CLAW           w/More TBA 18+        FILLMORE PHILADELPHIA       1000 FRANKFORD AVE     SAT JAN 30 2016 9:00 PM  ,1,28.0,TicketFast,2016-01-31 02:00:00,2016-01-30,,2015-11-13,2016-01-29 00:05:52,2016-01-28,2016-01-30,EST,PHILADELPHIA,PENNSYLVANIA,19125,mobile.livenation.us,T ,Y ,Delaware Valley,519729017d672731ccad,,,,,,,,,,,,,,
88,89,24d74ef53592d1e950fc,8ece566dec0c146b25cd,b85143bf51323b72e53c,d81a31a18ef2e9cf5cfa,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   Live Nation Presents            BEYONCE           The Formation World Tour     CENTURYLINK FIELD           RAIN OR SHINE         WED MAY 18 2016 6:00PM  ,2,560.0,TicketFast,2016-05-19 01:00:00,2016-05-18,2016-02-15,2016-02-22,2016-02-15 20:21:52,2016-02-15,,PST,SEATTLE,WASHINGTON,98134,www.ticketmaster.com,F ,Y ,Seattle,d81a31a18ef2e9cf5cfa,,,,,,,,,,,,,,
90,91,355e05d82b29bba7c90a,64bd5d75410fea91bcde,2a5cc44b14aa1d2624fc,6680e6c299e809a4cb66,Radio 104.5 pres.slightly stoopid - return of the red eye tour w soja,Slightly Stoopid,SOJA,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Radio 104.5 pres.slightly stoopid - return of the red eye tour w soja,   RADIO 104.5 PRESENTS        SLIGHTLY STOOPID         SPECIAL GUEST SOJA    RETURN OF THE REDEYE TOUR FESTIVAL PIER/RAIN ORSHINE SAT AUG 20 2016 6:30 PM  ,2,34.0,TicketFast,2016-08-20 22:30:00,2016-08-20,2016-02-23,2016-02-27,2016-02-23 23:02:40,2016-02-23,,EST,PHILADELPHIA,PENNSYLVANIA,19106,mobile.ticketmaster.us,F ,Y ,Delaware Valley,6680e6c299e809a4cb66,,,,,,,,,,,,,,
91,92,badaf9857b436f89ad61,0b20e1569d960318feef,b85143bf51323b72e53c,275869f33349924267c4,Life In Color Philadelphia,Life In Color,,CONCERTS,DANCE MUSIC/DANCE,CONCERTS,Life In Color Philadelphia,    WWW.LIVENATION.COM          LIFE IN COLOR       RAIN OR SHINE/MUST BE 16+       PENN'S LANDING            FESTIVAL PIER        SAT APR 09 2016 6:00 PM  ,1,55.0,TicketFast,2016-04-09 22:00:00,2016-04-09,,2016-01-27,2016-01-28 15:13:32,2016-01-28,,EST,PHILADELPHIA,PENNSYLVANIA,19106,www.ticketmaster.com,F ,Y ,Delaware Valley,275869f33349924267c4,,,,,,,,,,,,,,
92,93,746197d1645c1d080f19,5af10f75fea92b5668ea,254385995da60eece597,5ae2ad8cb220f9d77467,Sweet And Tender Hooligans,Sweet and Tender Hooligans,El Conjunto Nueva Ola,CONCERTS,ROCK/POP,CONCERTS,Sweet And Tender Hooligans, HOUSE OF BLUES PRESENTS  SWEET AND TENDER HOOLIGANS   WWW.HOUSEOFBLUES.COM     HOUSE OF BLUES ANAHEIM  1530 DISNYLND DR/ALL AGES SAT JAN 09 2016 DRS 8:00PM,1,16.5,eTicket,2016-01-10 04:00:00,2016-01-09,2015-10-08,2015-10-09,2015-10-20 23:34:42,2015-10-20,2015-10-25,PST,ANAHEIM,CALIFORNIA,92802,mobile.livenation.us,T ,Y ,Los Angeles,5ae2ad8cb220f9d77467,,,,,,,,,,,,,,
97,98,9235149720851d8d5ad9,018600c7f08380c6be26,b85143bf51323b72e53c,ff55261dc9e1947b4ee7,Mana: Latino Power Tour 2016,Maná,,CONCERTS,LATIN MUSIC,CONCERTS,Mana: Latino Power Tour 2016,  CHIVAS REGAL PRESENTS              MANA               LATINO POWER TOUR                                  VIEJAS ARENA @ SDSU     FRI SEP 09 2016 8:00 PM  ,2,152.0,eTicket,2016-09-10 03:00:00,2016-09-09,2016-02-17,2016-02-19,2016-02-17 18:20:33,2016-02-17,2016-02-17,PST,SAN DIEGO,CALIFORNIA,92182,www.ticketmaster.com,T ,Y ,San Diego,ff55261dc9e1947b4ee7,,,,,,,,,,,,,,
100,101,d2308c0c7a4562015b0b,f53529c5679ea6ca5a48,b85143bf51323b72e53c,716c2787343c2b16599c,Dave Matthews Band,Dave Matthews Band,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Dave Matthews Band,                              DAVE MATTHEWS BAND                                 NO CAMERAS OR VIDEOS    MIDFLORIDA AMPHITHEATRE   WED JUL 27 2016 7:00 PM  ,2,152.0,Mail,2016-07-27 23:00:00,2016-07-27,2016-02-16,2016-02-19,2016-02-16 15:02:51,2016-02-16,,EST,TAMPA,FLORIDA,33610,www.concerts.livenation.com,F ,Y ,Tampa,716c2787343c2b16599c,,,,,,,,,,,,,,
101,102,8f3b771abcc1900cc0a0,e7977ac6f61f6a9500ab,4013c3ce8ccf6ad32375,bf9445c0d569b49f4614,Sunshine Music Festival,Tedeschi Trucks Band,Indigo Girls,CONCERTS,ROCK/POP,CONCERTS,Sunshine Music Festival,"   LIVE NATION PRESENTS    SUNSHINE MUSIC FESTIVAL  SUNSHINEMUSICFESTIVAL.COM  MIZNER PARK AMPHITHEATER 590 PLAZA REAL, BOCA RATON SUN JAN 17 2016 DRS 11AM ",2,92.98,TicketFast,2016-01-17 16:00:00,2016-01-17,2015-10-06,2015-10-09,2015-10-07 17:11:17,2015-10-07,2015-10-11,EST,BOCA RATON,FLORIDA,33432,mobile.ticketmaster.us,T ,Y ,Miami,bf9445c0d569b49f4614,,,,,,,,,,,,,,
104,105,c245a5422fad465df304,dddbb3e176cd226421c6,7205f93a45b2e20210bf,f5721be0f6e64b984504,Jason Aldean: We Were Here 2016 tour,Jason Aldean,Thomas Rhett,CONCERTS,COUNTRY,CONCERTS,Jason Aldean: We Were Here 2016 tour,   www.jasonaldean.com           JASON ALDEAN                                   WE WERE HERE TOUR 2016     BRYCE JORDAN CENTER     FRI FEB 26 2016 7:30 PM  ,2,129.5,eTicket,2016-02-27 00:30:00,2016-02-26,2015-10-20,2015-10-23,2016-02-26 16:43:11,2016-02-26,2016-02-26,EST,UNIVERSITY PARK,PENNSYLVANIA,16802,www.ticketmaster.com,T ,Y ,Delaware Valley,f5721be0f6e64b984504,,,,,,,,,,,,,,
105,106,eb134353b484ba80b50c,5a30008429ee66fc7b84,6dfc6d87997457f095cc,b6c3b2081938e74d7cde,Luke Bryan: Kill The Lights Tour 2016,Luke Bryan,Dustin Lynch,CONCERTS,COUNTRY,CONCERTS,Luke Bryan: Kill The Lights Tour 2016,KILL THE LIGHTS TOUR 2016         LUKE BRYAN              LUKEBRYAN.COM              DUSTIN LYNCH        NMSU PAN AMERICAN CENTER  TUE MAR 08 2016 7:30 PM  ,4,281.0,TicketFast,2016-03-09 02:30:00,2016-03-08,2015-12-02,2015-12-05,2015-12-05 17:06:25,2015-12-05,2015-12-05,CST,LAS CRUCES,NEW MEXICO,88003,iphone.ticketmaster.us,T ,Y ,El Paso,b6c3b2081938e74d7cde,,,,,,,,,,,,,,
106,107,b9e2a5f08a20b40a7654,8ece566dec0c146b25cd,b85143bf51323b72e53c,062d88bf6b484b400106,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,         BEYONCE           THE FORMATION WORLD TOUR  PRESENTED BY LIVE NATION      M&T BANK STADIUM           RAIN OR SHINE         FRI JUN 10 2016 6:00PM  ,2,200.0,eTicket,2016-06-10 22:00:00,2016-06-10,2016-02-09,2016-02-16,2016-02-09 17:10:01,2016-02-09,,EST,BALTIMORE,MARYLAND,21230,www.ticketmaster.com,F ,Y ,Washington DC,062d88bf6b484b400106,,,,,,,,,,,,,,
107,108,d8c63737bbb542c61b9d,aba804c431b26fbb45a9,b85143bf51323b72e53c,6e7fbae9a31904563117,Beach House,Beach House,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Beach House,   CROSSROADS PRESENTS           BEACH HOUSE               WWW.HOB.COM          HOUSE OF BLUES BOSTON    15 LANSDOWNE ST/ALL AGES FRI MAR 11 2016 DRS 700PM ,1,45.0,eTicket,2016-03-12 00:00:00,2016-03-11,2015-10-23,2015-10-23,2016-02-27 18:45:57,2016-02-27,,EST,BOSTON,MASSACHUSETTS,02215,www.concerts.livenation.com,F ,Y ,Boston,6e7fbae9a31904563117,,,,,,,,,,,,,,
109,110,c19b968b0684f6f1eadf,0cec3902a7c3af6fce6c,dd95d852672f41e5109a,ddcda4472d9ba370a87e,Wmzqfest - lady antebellum with hunter hayes and sam hunt,Lady Antebellum,Hunter Hayes,CONCERTS,COUNTRY,CONCERTS,Wmzqfest - lady antebellum with hunter hayes and sam hunt,  QUICKEN LOANS PRESENTS       LADY ANTEBELLUM               WMZQFEST          HUNTER HAYES & SAM HUNT       JIFFY LUBE LIVE      SAT JUN 06 2015 DRS 400PM ,1,25.5,eTicket,2015-06-06 20:00:00,2015-06-06,2015-03-04,2015-03-06,2015-04-05 22:09:05,2015-04-05,2015-06-05,EST,BRISTOW,VIRGINIA,20136,www.concerts.livenation.com,T ,Y ,Washington DC,ddcda4472d9ba370a87e,,,,,,,,,,,,,,
112,113,aecf00d428ac774354db,823bd183553fcb75e193,b85143bf51323b72e53c,2aab552ad145220c4db0,Pop Evil Presented By 93.1 the fox,Pop Evil,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Pop Evil Presented By 93.1 the fox, LN & 93.1 WTFX PRESENTS           POP EVIL             WWW.LIVENATION.COM         MERCURY BALLROOM        LOUISVILLE KENTUCKY    SAT NOV 07 2015 DOORS 7PM ,1,22.0,eTicket,2015-11-08 01:00:00,2015-11-07,2015-09-23,2015-09-25,2015-11-07 21:48:29,2015-11-07,2015-11-07,EST,LOUISVILLE,KENTUCKY,40202,www.concerts.livenation.com,T ,Y ,Cincinnati-KY,2aab552ad145220c4db0,,,,,,,,,,,,,,
113,114,bfe32c254dc4ec96bcc0,fd00ad2bbbc503005a3f,386288e120d90dd3a9b4,97975a6fbc11ae59cf33,Collective Soul - the see what you started tour,Collective Soul,Magnets & Ghosts,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Collective Soul - the see what you started tour,   LIVE NATION PRESENTS        COLLECTIVE SOUL              * * * * *               AZTEC THEATRE          201 E. COMMERCE/SATX    SAT NOV 21 2015 8:00 PM  ,2,81.0,TicketFast,2015-11-22 02:00:00,2015-11-21,2015-10-01,2015-07-31,2015-08-06 00:34:44,2015-08-05,2015-09-25,CST,SAN ANTONIO,TEXAS,78205,iphone2.livenation.us,T ,Y ,San Antonio,97975a6fbc11ae59cf33,,,,,,,,,,,,,,
